Store,Month,Year,Open,Promo,Sales,PromoRatio
7,10,2013,27,10,207787,0.37037037037037035
7,9,2015,0,0,0,
7,9,2014,26,12,231254,0.46153846153846156
7,9,2013,25,10,201378,0.4
7,8,2015,0,0,0,
7,8,2014,26,11,267965,0.4230769230769231
7,8,2013,27,12,258366,0.4444444444444444
8,7,2015,27,13,175011,0.48148148148148145
8,7,2014,27,13,143448,0.48148148148148145
8,7,2013,27,13,131851,0.48148148148148145
8,6,2015,26,12,168794,0.46153846153846156
8,6,2014,24,11,132132,0.4583333333333333
8,6,2013,25,10,122294,0.4
8,5,2015,23,11,144416,0.4782608695652174
8,5,2014,25,12,128865,0.48
8,5,2013,24,13,126886,0.5416666666666666
8,4,2015,24,12,162400,0.5
8,4,2014,24,12,132283,0.5
8,4,2013,25,12,127236,0.48
8,3,2015,26,12,161103,0.46153846153846156
8,3,2014,26,11,133297,0.4230769230769231
8,3,2013,25,15,135408,0.6
8,2,2015,24,10,145319,0.4166666666666667
8,2,2014,24,10,123553,0.4166666666666667
8,2,2013,24,10,119828,0.4166666666666667
8,1,2015,26,15,153851,0.5769230769230769
8,1,2014,26,10,125423,0.38461538461538464
8,1,2013,26,10,122293,0.38461538461538464
8,12,2015,0,0,0,
8,12,2014,25,10,172696,0.4
8,12,2013,24,10,147117,0.4166666666666667
8,11,2015,0,0,0,
8,11,2014,25,15,165990,0.6
8,11,2013,26,10,132208,0.38461538461538464
8,10,2015,0,0,0,
8,10,2014,26,13,153143,0.5
8,10,2013,26,10,125579,0.38461538461538464
8,9,2015,0,0,0,
8,9,2014,26,12,147382,0.46153846153846156
8,9,2013,25,10,118940,0.4
8,8,2015,0,0,0,
8,8,2014,26,11,131488,0.4230769230769231
8,8,2013,27,12,132623,0.4444444444444444
9,7,2015,27,13,194575,0.48148148148148145
9,7,2014,27,13,175525,0.48148148148148145
9,7,2013,27,13,164486,0.48148148148148145
9,6,2015,25,12,202819,0.48
9,6,2014,23,11,165527,0.4782608695652174
9,6,2013,25,10,134549,0.4
9,5,2015,23,11,179714,0.4782608695652174
9,5,2014,25,12,163180,0.48
9,5,2013,23,13,136540,0.5652173913043478
9,4,2015,24,12,185332,0.5
9,4,2014,24,12,156664,0.5
9,4,2013,25,12,136194,0.48
9,3,2015,26,12,196862,0.46153846153846156
9,3,2014,26,11,166267,0.4230769230769231
9,3,2013,25,15,143583,0.6
9,2,2015,24,10,174485,0.4166666666666667
9,2,2014,24,10,157066,0.4166666666666667
9,2,2013,24,10,126826,0.4166666666666667
9,1,2015,26,15,185765,0.5769230769230769
9,1,2014,26,10,161650,0.38461538461538464
9,1,2013,26,10,127016,0.38461538461538464
9,12,2015,0,0,0,
9,12,2014,25,10,204660,0.4
9,12,2013,24,10,174563,0.4166666666666667
9,11,2015,0,0,0,
9,11,2014,24,15,183178,0.625
9,11,2013,25,10,151174,0.4
9,10,2015,0,0,0,
9,10,2014,26,13,175546,0.5
9,10,2013,26,10,150510,0.38461538461538464
9,9,2015,0,0,0,
9,9,2014,26,12,172952,0.46153846153846156
9,9,2013,25,10,141926,0.4
9,8,2015,0,0,0,
9,8,2014,26,11,172280,0.4230769230769231
9,8,2013,27,12,150647,0.4444444444444444
10,7,2015,27,13,162713,0.48148148148148145
10,7,2014,27,13,153433,0.48148148148148145
10,7,2013,27,13,140742,0.48148148148148145
10,6,2015,26,12,156476,0.46153846153846156
10,6,2014,24,11,140162,0.4583333333333333
10,6,2013,25,10,136334,0.4
10,5,2015,23,11,139903,0.4782608695652174
10,5,2014,25,12,146065,0.48
10,5,2013,24,13,130642,0.5416666666666666
10,4,2015,24,12,143611,0.5
10,4,2014,24,12,134317,0.5
10,4,2013,25,12,131040,0.48
10,3,2015,26,12,148842,0.46153846153846156
10,3,2014,26,11,140272,0.4230769230769231
10,3,2013,25,15,133609,0.6
10,2,2015,24,10,132959,0.4166666666666667
10,2,2014,24,10,128994,0.4166666666666667
10,2,2013,24,10,122956,0.4166666666666667
10,1,2015,26,15,140328,0.5769230769230769
10,1,2014,26,10,137488,0.38461538461538464
10,1,2013,26,10,130042,0.38461538461538464
10,12,2015,0,0,0,
10,12,2014,25,10,160481,0.4
10,12,2013,24,10,153960,0.4166666666666667
10,11,2015,0,0,0,
10,11,2014,25,15,151898,0.6
10,11,2013,26,10,143394,0.38461538461538464
10,10,2015,0,0,0,
10,10,2014,26,13,146423,0.5
10,10,2013,26,10,133045,0.38461538461538464
10,9,2015,0,0,0,
10,9,2014,26,12,141676,0.46153846153846156
10,9,2013,25,10,127694,0.4
10,8,2015,0,0,0,
10,8,2014,26,11,132166,0.4230769230769231
10,8,2013,27,12,143977,0.4444444444444444
11,7,2015,27,13,201875,0.48148148148148145
11,7,2014,27,13,207229,0.48148148148148145
11,7,2013,27,13,214828,0.48148148148148145
11,6,2015,26,12,193430,0.46153846153846156
11,6,2014,24,11,185464,0.4583333333333333
11,6,2013,25,10,189908,0.4
11,5,2015,23,11,173713,0.4782608695652174
11,5,2014,25,12,190621,0.48
11,5,2013,24,13,191123,0.5416666666666666
11,4,2015,24,12,189730,0.5
11,4,2014,24,12,202542,0.5
11,4,2013,25,12,189491,0.48
11,3,2015,26,12,200507,0.46153846153846156
11,3,2014,26,11,191067,0.4230769230769231
11,3,2013,25,15,223644,0.6
11,2,2015,24,10,177576,0.4166666666666667
11,2,2014,24,10,180880,0.4166666666666667
11,2,2013,24,10,184523,0.4166666666666667
11,1,2015,26,15,186160,0.5769230769230769
11,1,2014,26,10,184633,0.38461538461538464
11,1,2013,26,10,190839,0.38461538461538464
11,12,2015,0,0,0,
11,12,2014,25,10,305486,0.4
11,12,2013,24,10,309290,0.4166666666666667
11,11,2015,0,0,0,
11,11,2014,25,15,225203,0.6
11,11,2013,26,10,229122,0.38461538461538464
11,10,2015,0,0,0,
11,10,2014,26,13,190178,0.5
11,10,2013,26,10,186272,0.38461538461538464
11,9,2015,0,0,0,
11,9,2014,26,12,194808,0.46153846153846156
11,9,2013,25,10,179773,0.4
11,8,2015,0,0,0,
11,8,2014,26,11,206909,0.4230769230769231
11,8,2013,27,12,219462,0.4444444444444444
12,7,2015,27,13,202658,0.48148148148148145
12,7,2014,27,13,194911,0.48148148148148145
12,7,2013,27,13,194338,0.48148148148148145
12,6,2015,26,12,210906,0.46153846153846156
12,6,2014,24,11,182962,0.4583333333333333
12,6,2013,25,10,179118,0.4
12,5,2015,23,11,180761,0.4782608695652174
12,5,2014,25,12,181522,0.48
12,5,2013,24,13,176205,0.5416666666666666
12,4,2015,24,12,199217,0.5
12,4,2014,24,12,186283,0.5
12,4,2013,25,12,179129,0.48
12,3,2015,26,12,213958,0.46153846153846156
12,3,2014,26,11,189024,0.4230769230769231
12,3,2013,25,15,206639,0.6
12,2,2015,24,10,169472,0.4166666666666667
12,2,2014,24,10,173857,0.4166666666666667
12,2,2013,24,10,163685,0.4166666666666667
12,1,2015,26,15,203081,0.5769230769230769
12,1,2014,26,10,184658,0.38461538461538464
12,1,2013,26,10,173463,0.38461538461538464
12,12,2015,0,0,0,
12,12,2014,25,10,241991,0.4
12,12,2013,24,10,231971,0.4166666666666667
12,11,2015,0,0,0,
12,11,2014,25,15,212704,0.6
12,11,2013,26,10,202947,0.38461538461538464
12,10,2015,0,0,0,
12,10,2014,26,13,185170,0.5
12,10,2013,26,10,181609,0.38461538461538464
12,9,2015,0,0,0,
12,9,2014,26,12,191494,0.46153846153846156
12,9,2013,25,10,170648,0.4
12,8,2015,0,0,0,
12,8,2014,26,11,184713,0.4230769230769231
12,8,2013,27,12,201151,0.4444444444444444
13,7,2015,27,13,147890,0.48148148148148145
13,7,2014,0,0,0,
13,7,2013,27,13,141195,0.48148148148148145
13,6,2015,25,12,126034,0.48
13,6,2014,23,11,119828,0.4782608695652174
13,6,2013,25,10,113364,0.4
13,5,2015,23,11,113864,0.4782608695652174
13,5,2014,25,12,121407,0.48
13,5,2013,23,13,120194,0.5652173913043478
13,4,2015,24,12,135248,0.5
13,4,2014,24,12,132123,0.5
13,4,2013,25,12,124740,0.48
13,3,2015,26,12,132195,0.46153846153846156
13,3,2014,26,11,124687,0.4230769230769231
13,3,2013,25,15,127739,0.6
13,2,2015,24,10,113496,0.4166666666666667
13,2,2014,24,10,113748,0.4166666666666667
13,2,2013,24,10,105690,0.4166666666666667
13,1,2015,25,15,137944,0.6
13,1,2014,25,10,126647,0.4
13,1,2013,26,10,120755,0.38461538461538464
13,12,2015,0,0,0,
13,12,2014,0,0,0,
13,12,2013,24,10,141865,0.4166666666666667
13,11,2015,0,0,0,
13,11,2014,0,0,0,
13,11,2013,25,10,122862,0.4
13,10,2015,0,0,0,
13,10,2014,0,0,0,
13,10,2013,26,10,125867,0.38461538461538464
13,9,2015,0,0,0,
13,9,2014,0,0,0,
13,9,2013,25,10,112776,0.4
13,8,2015,0,0,0,
13,8,2014,0,0,0,
13,8,2013,25,12,124420,0.48
14,7,2015,27,13,140769,0.48148148148148145
14,7,2014,27,13,141099,0.48148148148148145
14,7,2013,27,13,150115,0.48148148148148145
14,6,2015,25,12,148241,0.48
14,6,2014,23,11,139821,0.4782608695652174
14,6,2013,25,10,132249,0.4
14,5,2015,23,11,133503,0.4782608695652174
14,5,2014,25,12,138040,0.48
14,5,2013,23,13,131501,0.5652173913043478
14,4,2015,24,12,135969,0.5
14,4,2014,24,12,137274,0.5
14,4,2013,25,12,132499,0.48
14,3,2015,26,12,147756,0.46153846153846156
14,3,2014,26,11,145048,0.4230769230769231
14,3,2013,25,15,144258,0.6
14,2,2015,24,10,125147,0.4166666666666667
14,2,2014,24,10,128650,0.4166666666666667
14,2,2013,24,10,126643,0.4166666666666667
14,1,2015,26,15,140832,0.5769230769230769
14,1,2014,26,10,138710,0.38461538461538464
14,1,2013,26,10,132544,0.38461538461538464
14,12,2015,0,0,0,
14,12,2014,25,10,162781,0.4
14,12,2013,24,10,157927,0.4166666666666667
14,11,2015,0,0,0,
14,11,2014,24,15,142674,0.625
14,11,2013,25,10,136567,0.4
14,10,2015,0,0,0,
14,10,2014,26,13,137824,0.5
14,10,2013,26,10,132883,0.38461538461538464
14,9,2015,0,0,0,
14,9,2014,26,12,141173,0.46153846153846156
14,9,2013,25,10,124327,0.4
14,8,2015,0,0,0,
14,8,2014,26,11,133832,0.4230769230769231
14,8,2013,27,12,130518,0.4444444444444444
15,7,2015,27,13,183988,0.48148148148148145
15,7,2014,27,13,172582,0.48148148148148145
15,7,2013,27,13,174957,0.48148148148148145
15,6,2015,26,12,183425,0.46153846153846156
15,6,2014,24,11,166691,0.4583333333333333
15,6,2013,25,10,156117,0.4
15,5,2015,23,11,164454,0.4782608695652174
15,5,2014,25,12,163989,0.48
15,5,2013,24,13,158928,0.5416666666666666
15,4,2015,24,12,171915,0.5
15,4,2014,24,12,164651,0.5
15,4,2013,25,12,153697,0.48
15,3,2015,26,12,184345,0.46153846153846156
15,3,2014,26,11,169871,0.4230769230769231
15,3,2013,25,15,176328,0.6
15,2,2015,24,10,154810,0.4166666666666667
15,2,2014,24,10,153110,0.4166666666666667
15,2,2013,24,10,145423,0.4166666666666667
15,1,2015,26,15,169652,0.5769230769230769
15,1,2014,26,10,164439,0.38461538461538464
15,1,2013,26,10,151895,0.38461538461538464
15,12,2015,0,0,0,
15,12,2014,25,10,212009,0.4
15,12,2013,24,10,198386,0.4166666666666667
15,11,2015,0,0,0,
15,11,2014,25,15,178106,0.6
15,11,2013,26,10,171804,0.38461538461538464
15,10,2015,0,0,0,
15,10,2014,26,13,158624,0.5
15,10,2013,26,10,152617,0.38461538461538464
15,9,2015,0,0,0,
15,9,2014,26,12,163737,0.46153846153846156
15,9,2013,25,10,153994,0.4
15,8,2015,0,0,0,
15,8,2014,26,11,176080,0.4230769230769231
15,8,2013,27,12,180886,0.4444444444444444
16,7,2015,27,13,222950,0.48148148148148145
16,7,2014,27,13,215648,0.48148148148148145
16,7,2013,27,13,208593,0.48148148148148145
16,6,2015,25,12,206145,0.48
16,6,2014,23,11,182934,0.4782608695652174
16,6,2013,25,10,175008,0.4
16,5,2015,23,11,190821,0.4782608695652174
16,5,2014,25,12,194379,0.48
16,5,2013,23,13,170081,0.5652173913043478
16,4,2015,24,12,198100,0.5
16,4,2014,24,12,195183,0.5
16,4,2013,25,12,173871,0.48
16,3,2015,26,12,213132,0.46153846153846156
16,3,2014,26,11,190620,0.4230769230769231
16,3,2013,25,15,189391,0.6
16,2,2015,24,10,181983,0.4166666666666667
16,2,2014,24,10,178969,0.4166666666666667
16,2,2013,24,10,158559,0.4166666666666667
16,1,2015,25,15,195920,0.6
16,1,2014,25,10,187260,0.4
16,1,2013,26,10,167566,0.38461538461538464
16,12,2015,0,0,0,
16,12,2014,25,10,243955,0.4
16,12,2013,24,10,220213,0.4166666666666667
16,11,2015,0,0,0,
16,11,2014,24,15,207317,0.625
16,11,2013,25,10,188926,0.4
16,10,2015,0,0,0,
16,10,2014,26,13,198572,0.5
16,10,2013,26,10,187293,0.38461538461538464
16,9,2015,0,0,0,
16,9,2014,26,12,187476,0.46153846153846156
16,9,2013,25,10,178185,0.4
16,8,2015,0,0,0,
16,8,2014,26,11,179835,0.4230769230769231
16,8,2013,27,12,179006,0.4444444444444444
17,7,2015,27,13,164219,0.48148148148148145
17,7,2014,27,13,164392,0.48148148148148145
17,7,2013,27,13,179846,0.48148148148148145
17,6,2015,26,12,164374,0.46153846153846156
17,6,2014,24,11,153301,0.4583333333333333
17,6,2013,25,10,142347,0.4
17,5,2015,23,11,142031,0.4782608695652174
17,5,2014,25,12,146339,0.48
17,5,2013,24,13,151317,0.5416666666666666
17,4,2015,24,12,157453,0.5
17,4,2014,24,12,156879,0.5
17,4,2013,25,12,154036,0.48
17,3,2015,26,12,165781,0.46153846153846156
17,3,2014,26,11,153819,0.4230769230769231
17,3,2013,25,15,173696,0.6
17,2,2015,24,10,143313,0.4166666666666667
17,2,2014,24,10,142304,0.4166666666666667
17,2,2013,24,10,143688,0.4166666666666667
17,1,2015,26,15,163187,0.5769230769230769
17,1,2014,26,10,152819,0.38461538461538464
17,1,2013,26,10,152760,0.38461538461538464
17,12,2015,0,0,0,
17,12,2014,25,10,207764,0.4
17,12,2013,24,10,204524,0.4166666666666667
17,11,2015,0,0,0,
17,11,2014,25,15,177155,0.6
17,11,2013,26,10,164403,0.38461538461538464
17,10,2015,0,0,0,
17,10,2014,25,13,158636,0.52
17,10,2013,25,10,154739,0.4
17,9,2015,0,0,0,
17,9,2014,26,12,160799,0.46153846153846156
17,9,2013,25,10,147425,0.4
17,8,2015,0,0,0,
17,8,2014,26,11,150934,0.4230769230769231
17,8,2013,27,12,160208,0.4444444444444444
18,7,2015,27,13,188512,0.48148148148148145
18,7,2014,27,13,172002,0.48148148148148145
18,7,2013,27,13,168541,0.48148148148148145
18,6,2015,26,12,187806,0.46153846153846156
18,6,2014,24,11,162609,0.4583333333333333
18,6,2013,25,10,143974,0.4
18,5,2015,23,11,165099,0.4782608695652174
18,5,2014,25,12,158645,0.48
18,5,2013,24,13,147531,0.5416666666666666
18,4,2015,24,12,170357,0.5
18,4,2014,24,12,157496,0.5
18,4,2013,25,12,140814,0.48
18,3,2015,26,12,186749,0.46153846153846156
18,3,2014,26,11,163270,0.4230769230769231
18,3,2013,25,15,164240,0.6
18,2,2015,24,10,158972,0.4166666666666667
18,2,2014,24,10,149584,0.4166666666666667
18,2,2013,24,10,136033,0.4166666666666667
18,1,2015,26,15,181843,0.5769230769230769
18,1,2014,26,10,157033,0.38461538461538464
18,1,2013,26,10,141363,0.38461538461538464
18,12,2015,0,0,0,
18,12,2014,25,10,216506,0.4
18,12,2013,24,10,198122,0.4166666666666667
18,11,2015,0,0,0,
18,11,2014,25,15,181664,0.6
18,11,2013,26,10,167669,0.38461538461538464
18,10,2015,0,0,0,
18,10,2014,25,13,167283,0.52
18,10,2013,25,10,151500,0.4
18,9,2015,0,0,0,
18,9,2014,26,12,169868,0.46153846153846156
18,9,2013,25,10,145304,0.4
18,8,2015,0,0,0,
18,8,2014,26,11,163608,0.4230769230769231
18,8,2013,27,12,166140,0.4444444444444444
19,7,2015,27,13,175812,0.48148148148148145
19,7,2014,27,13,171127,0.48148148148148145
19,7,2013,27,13,165866,0.48148148148148145
19,6,2015,25,12,184048,0.48
19,6,2014,23,11,159838,0.4782608695652174
19,6,2013,25,10,145141,0.4
19,5,2015,23,11,163268,0.4782608695652174
19,5,2014,25,12,166117,0.48
19,5,2013,23,13,150166,0.5652173913043478
19,4,2015,24,12,167072,0.5
19,4,2014,24,12,160318,0.5
19,4,2013,25,12,141304,0.48
19,3,2015,26,12,180586,0.46153846153846156
19,3,2014,26,11,166943,0.4230769230769231
19,3,2013,25,15,160187,0.6
19,2,2015,24,10,160915,0.4166666666666667
19,2,2014,24,10,153387,0.4166666666666667
19,2,2013,24,10,142545,0.4166666666666667
19,1,2015,26,15,167489,0.5769230769230769
19,1,2014,26,10,155837,0.38461538461538464
19,1,2013,26,10,142405,0.38461538461538464
19,12,2015,0,0,0,
19,12,2014,25,10,194983,0.4
19,12,2013,24,10,177341,0.4166666666666667
19,11,2015,0,0,0,
19,11,2014,24,15,181006,0.625
19,11,2013,25,10,156607,0.4
19,10,2015,0,0,0,
19,10,2014,26,13,164849,0.5
19,10,2013,26,10,148290,0.38461538461538464
19,9,2015,0,0,0,
19,9,2014,26,12,166988,0.46153846153846156
19,9,2013,25,10,144069,0.4
19,8,2015,0,0,0,
19,8,2014,26,11,168059,0.4230769230769231
19,8,2013,27,12,153606,0.4444444444444444
20,7,2015,27,13,231959,0.48148148148148145
20,7,2014,0,0,0,
20,7,2013,27,13,207978,0.48148148148148145
20,6,2015,25,12,214656,0.48
20,6,2014,23,11,183898,0.4782608695652174
20,6,2013,25,10,178265,0.4
20,5,2015,23,11,197368,0.4782608695652174
20,5,2014,25,12,191973,0.48
