Store,Year,Promo,Sales,Quarter,Customers,Open,PromoFrequencyRatio,YearQuarter,prev1Quarter,prevQuarterChange
4,2014,36,764264,3,102246,79,0.4556962025316456,7,57566.0,48539.0
4,2013,35,685909,3,97492,79,0.4430379746835443,3,-11583.0,11625.0
4,2015,0,0,4,0,0,,12,-276935.0,175809.0
4,2014,38,803356,4,107821,76,0.5,8,39092.0,-18474.0
4,2013,30,748566,4,103901,76,0.3947368421052632,4,62657.0,74240.0
5,2015,37,345789,1,39352,76,0.4868421052631579,9,-39574.0,-73184.0
5,2014,31,329421,1,38849,76,0.4078947368421053,5,-53467.0,-48156.0
5,2013,35,327428,1,38691,75,0.4666666666666667,1,0.0,0.0
5,2015,35,346146,2,39333,73,0.4794520547945205,10,357.0,39931.0
5,2014,35,339928,2,39724,73,0.4794520547945205,6,10507.0,63974.0
5,2013,35,321713,2,38885,73,0.4794520547945205,2,-5715.0,-5715.0
5,2015,13,124190,3,14086,27,0.4814814814814815,11,-221956.0,-222313.0
5,2014,36,351753,3,41412,79,0.4556962025316456,7,11825.0,1318.0
5,2013,35,388199,3,44155,79,0.4430379746835443,3,66486.0,72201.0
5,2015,0,0,4,0,0,,12,-124190.0,97766.0
5,2014,38,385363,4,41975,74,0.5135135135135135,8,33610.0,21785.0
5,2013,30,382888,4,42126,74,0.40540540540540543,4,-5311.0,-71797.0
6,2015,37,357188,1,41452,76,0.4868421052631579,9,-53825.0,-83310.0
6,2014,31,373803,1,44443,76,0.4078947368421053,5,-125447.0,-139344.0
6,2013,35,454470,1,53178,75,0.4666666666666667,1,0.0,0.0
6,2015,35,359487,2,40655,73,0.4794520547945205,10,2299.0,56124.0
6,2014,35,387403,2,44726,73,0.4794520547945205,6,13600.0,139047.0
6,2013,35,467626,2,54841,74,0.472972972972973,2,13156.0,13156.0
6,2015,13,120637,3,13678,27,0.4814814814814815,11,-238850.0,-241149.0
6,2014,36,381528,3,44620,79,0.4556962025316456,7,-5875.0,-19475.0
6,2013,35,485353,3,57001,79,0.4430379746835443,3,17727.0,4571.0
6,2015,0,0,4,0,0,,12,-120637.0,118213.0
6,2014,38,411013,4,45181,74,0.5135135135135135,8,29485.0,35360.0
6,2013,30,499250,4,55708,74,0.40540540540540543,4,13897.0,-3830.0
7,2015,37,627302,1,65252,76,0.4868421052631579,9,-86223.0,-33194.0
7,2014,31,598329,1,65418,76,0.4078947368421053,5,-79561.0,-21427.0
7,2013,35,579944,1,63574,75,0.4666666666666667,1,0.0,0.0
7,2015,35,673627,2,70009,73,0.4794520547945205,10,46325.0,132548.0
7,2014,35,658975,2,71659,73,0.4794520547945205,6,60646.0,140207.0
7,2013,35,620073,2,69634,74,0.472972972972973,2,40129.0,40129.0
7,2015,13,277959,3,28609,27,0.4814814814814815,11,-395668.0,-441993.0
7,2014,36,766554,3,84626,79,0.4556962025316456,7,107579.0,46933.0
7,2013,35,736024,3,82927,79,0.4430379746835443,3,115951.0,75822.0
7,2015,0,0,4,0,0,,12,-277959.0,117709.0
7,2014,38,713525,4,72789,77,0.4935064935064935,8,-53029.0,-160608.0
7,2013,30,677890,4,71072,77,0.3896103896103896,4,-58134.0,-174085.0
8,2015,37,460273,1,53471,76,0.4868421052631579,9,-31556.0,-101067.0
8,2014,31,382273,1,47190,76,0.4078947368421053,5,-22631.0,-44121.0
8,2013,35,377529,1,45678,75,0.4666666666666667,1,0.0,0.0
8,2015,35,475610,2,53693,73,0.4794520547945205,10,15337.0,46893.0
8,2014,35,393280,2,47310,73,0.4794520547945205,6,11007.0,33638.0
8,2013,35,376416,2,45620,74,0.472972972972973,2,-1113.0,-1113.0
8,2015,13,175011,3,19485,27,0.4814814814814815,11,-300599.0,-315936.0
8,2014,36,422318,3,51013,79,0.4556962025316456,7,29038.0,18031.0
8,2013,35,383414,3,47524,79,0.4430379746835443,3,6998.0,8111.0
8,2015,0,0,4,0,0,,12,-175011.0,125588.0
8,2014,38,491829,4,56753,76,0.5,8,69511.0,40473.0
8,2013,30,404904,4,48290,76,0.3947368421052632,4,21490.0,14492.0
9,2015,37,557112,1,48103,76,0.4868421052631579,9,-6272.0,-48899.0
9,2014,31,484983,1,43455,76,0.4078947368421053,5,8736.0,-10452.0
9,2013,35,397425,1,36307,75,0.4666666666666667,1,0.0,0.0
9,2015,35,567865,2,48045,72,0.4861111111111111,10,10753.0,17025.0
9,2014,35,485371,2,42973,72,0.4861111111111111,6,388.0,-8348.0
9,2013,35,407283,2,37752,73,0.4794520547945205,2,9858.0,9858.0
9,2015,13,194575,3,16409,27,0.4814814814814815,11,-373290.0,-384043.0
9,2014,36,520757,3,46260,79,0.4556962025316456,7,35386.0,34998.0
9,2013,35,457059,3,41470,79,0.4430379746835443,3,49776.0,39918.0
9,2015,0,0,4,0,0,,12,-194575.0,178715.0
9,2014,38,563384,4,48424,75,0.5066666666666667,8,42627.0,7241.0
9,2013,30,476247,4,42479,75,0.4,4,19188.0,-30588.0
10,2015,37,422129,1,44652,76,0.4868421052631579,9,-36673.0,-68200.0
10,2014,31,406754,1,44589,76,0.4078947368421053,5,-23645.0,-41631.0
10,2013,35,386607,1,43127,75,0.4666666666666667,1,0.0,0.0
10,2015,35,439990,2,45007,73,0.4794520547945205,10,17861.0,54534.0
10,2014,35,420544,2,43895,73,0.4794520547945205,6,13790.0,37435.0
10,2013,35,398016,2,44074,74,0.472972972972973,2,11409.0,11409.0
10,2015,13,162713,3,16187,27,0.4814814814814815,11,-277277.0,-295138.0
10,2014,36,427275,3,45290,79,0.4556962025316456,7,6731.0,-7059.0
10,2013,35,412413,3,45421,79,0.4430379746835443,3,14397.0,2988.0
10,2015,0,0,4,0,0,,12,-162713.0,114564.0
10,2014,38,458802,4,47449,76,0.5,8,31527.0,24796.0
10,2013,30,430399,4,45970,76,0.3947368421052632,4,17986.0,3589.0
11,2015,37,564243,1,78433,76,0.4868421052631579,9,-156624.0,-268545.0
11,2014,31,556580,1,82155,76,0.4078947368421053,5,-168104.0,-278725.0
11,2013,35,599006,1,84943,75,0.4666666666666667,1,0.0,0.0
11,2015,35,556873,2,78024,73,0.4794520547945205,10,-7370.0,149254.0
11,2014,35,578627,2,82643,73,0.4794520547945205,6,22047.0,190151.0
11,2013,35,570522,2,83802,74,0.472972972972973,2,-28484.0,-28484.0
11,2015,13,201875,3,27841,27,0.4814814814814815,11,-354998.0,-347628.0
11,2014,36,608946,3,87778,79,0.4556962025316456,7,30319.0,8272.0
11,2013,35,614063,3,90589,79,0.4430379746835443,3,43541.0,72025.0
11,2015,0,0,4,0,0,,12,-201875.0,153123.0
11,2014,38,720867,4,93431,76,0.5,8,111921.0,81602.0
11,2013,30,724684,4,96353,76,0.3947368421052632,4,110621.0,67080.0
12,2015,37,586511,1,66854,76,0.4868421052631579,9,-53354.0,-122101.0
12,2014,31,547539,1,65368,76,0.4078947368421053,5,-68988.0,-119378.0
12,2013,35,543787,1,64343,75,0.4666666666666667,1,0.0,0.0
12,2015,35,590884,2,67553,73,0.4794520547945205,10,4373.0,57727.0
12,2014,35,550767,2,66258,73,0.4794520547945205,6,3228.0,72216.0
12,2013,35,534452,2,65328,74,0.472972972972973,2,-9335.0,-9335.0
12,2015,13,202658,3,23639,27,0.4814814814814815,11,-388226.0,-392599.0
12,2014,36,571118,3,69622,79,0.4556962025316456,7,20351.0,17123.0
12,2013,35,566137,3,69191,79,0.4430379746835443,3,31685.0,41020.0
12,2015,0,0,4,0,0,,12,-202658.0,185568.0
12,2014,38,639865,4,72974,76,0.5,8,68747.0,48396.0
12,2013,30,616527,4,72081,76,0.3947368421052632,4,50390.0,18705.0
13,2015,37,383635,1,27997,75,0.4933333333333334,9,383635.0,383635.0
13,2014,31,365082,1,28457,75,0.4133333333333333,5,-25512.0,-37715.0
13,2013,35,354184,1,27954,75,0.4666666666666667,1,0.0,0.0
13,2015,35,375146,2,26714,72,0.4861111111111111,10,-8489.0,-392124.0
13,2014,35,373358,2,28548,72,0.4861111111111111,6,8276.0,33788.0
13,2013,35,358298,2,28265,73,0.4794520547945205,2,4114.0,4114.0
13,2015,13,147890,3,9973,27,0.4814814814814815,11,-227256.0,-218767.0
13,2014,0,0,3,0,0,,7,-373358.0,-381634.0
13,2013,35,378391,3,29585,77,0.4545454545454545,3,20093.0,15979.0
13,2015,0,0,4,0,0,,12,-147890.0,79366.0
13,2014,0,0,4,0,0,,8,0.0,373358.0
13,2013,30,390594,4,30247,75,0.4,4,12203.0,-7890.0
14,2015,37,413735,1,47346,76,0.4868421052631579,9,-29544.0,-56719.0
14,2014,31,412408,1,47695,76,0.4078947368421053,5,-14969.0,-37386.0
14,2013,35,403445,1,47046,75,0.4666666666666667,1,0.0,0.0
14,2015,35,417713,2,46333,72,0.4861111111111111,10,3978.0,33522.0
14,2014,35,415135,2,46622,72,0.4861111111111111,6,2727.0,17696.0
14,2013,35,396249,2,46553,73,0.4794520547945205,2,-7196.0,-7196.0
14,2015,13,140769,3,15761,27,0.4814814814814815,11,-276944.0,-280922.0
14,2014,36,416104,3,47720,79,0.4556962025316456,7,969.0,-1758.0
14,2013,35,404960,3,47691,79,0.4430379746835443,3,8711.0,15907.0
14,2015,0,0,4,0,0,,12,-140769.0,136175.0
14,2014,38,443279,4,50020,75,0.5066666666666667,8,27175.0,26206.0
14,2013,30,427377,4,49126,75,0.4,4,22417.0,13706.0
15,2015,37,508807,1,49287,76,0.4868421052631579,9,-39932.0,-76272.0
15,2014,31,487420,1,48545,76,0.4078947368421053,5,-35387.0,-48357.0
15,2013,35,473646,1,47724,75,0.4666666666666667,1,0.0,0.0
15,2015,35,519794,2,50151,73,0.4794520547945205,10,10987.0,50919.0
15,2014,35,495331,2,49806,73,0.4794520547945205,6,7911.0,43298.0
15,2013,35,468742,2,48412,74,0.472972972972973,2,-4904.0,-4904.0
15,2015,13,183988,3,17553,27,0.4814814814814815,11,-335806.0,-346793.0
15,2014,36,512399,3,51768,79,0.4556962025316456,7,17068.0,9157.0
15,2013,35,509837,3,52512,79,0.4430379746835443,3,41095.0,45999.0
15,2015,0,0,4,0,0,,12,-183988.0,151818.0
15,2014,38,548739,4,52930,76,0.5,8,36340.0,19272.0
15,2013,30,522807,4,51419,76,0.3947368421052632,4,12970.0,-28125.0
16,2015,37,591035,1,64875,75,0.4933333333333334,9,-58809.0,-125694.0
16,2014,31,556849,1,63984,75,0.4133333333333333,5,-39583.0,-70231.0
16,2013,35,515516,1,59459,75,0.4666666666666667,1,0.0,0.0
16,2015,35,595066,2,63778,72,0.4861111111111111,10,4031.0,62840.0
16,2014,35,572496,2,63362,72,0.4861111111111111,6,15647.0,55230.0
16,2013,35,518960,2,59886,73,0.4794520547945205,2,3444.0,3444.0
16,2015,13,222950,3,23728,27,0.4814814814814815,11,-372116.0,-376147.0
16,2014,36,582959,3,64338,79,0.4556962025316456,7,10463.0,-5184.0
16,2013,35,565784,3,63874,79,0.4430379746835443,3,46824.0,43380.0
16,2015,0,0,4,0,0,,12,-222950.0,149166.0
16,2014,38,649844,4,69073,75,0.5066666666666667,8,66885.0,56422.0
16,2013,30,596432,4,66018,75,0.4,4,30648.0,-16176.0
17,2015,37,472281,1,57003,76,0.4868421052631579,9,-71274.0,-138704.0
17,2014,31,448942,1,57137,76,0.4078947368421053,5,-74724.0,-110911.0
17,2013,35,470144,1,59385,75,0.4666666666666667,1,0.0,0.0
17,2015,35,463858,2,56780,73,0.4794520547945205,10,-8423.0,62851.0
17,2014,35,456519,2,58163,73,0.4794520547945205,6,7577.0,82301.0
17,2013,35,447700,2,58791,74,0.472972972972973,2,-22444.0,-22444.0
17,2015,13,164219,3,20154,27,0.4814814814814815,11,-299639.0,-291216.0
17,2014,36,476125,3,61032,79,0.4556962025316456,7,19606.0,12029.0
17,2013,35,487479,3,63461,79,0.4430379746835443,3,39779.0,62223.0
17,2015,0,0,4,0,0,,12,-164219.0,135420.0
17,2014,38,543555,4,63252,75,0.5066666666666667,8,67430.0,47824.0
17,2013,30,523666,4,63932,75,0.4,4,36187.0,-3592.0
18,2015,37,527564,1,55403,76,0.4868421052631579,9,-37889.0,-97864.0
18,2014,31,469887,1,53170,76,0.4078947368421053,5,-47404.0,-84710.0
18,2013,35,441636,1,50727,75,0.4666666666666667,1,0.0,0.0
18,2015,35,523262,2,54196,73,0.4794520547945205,10,-4302.0,33587.0
18,2014,35,478750,2,52827,73,0.4794520547945205,6,8863.0,56267.0
18,2013,35,432319,2,49840,74,0.472972972972973,2,-9317.0,-9317.0
18,2015,13,188512,3,19079,27,0.4814814814814815,11,-334750.0,-330448.0
18,2014,36,505478,3,55291,79,0.4556962025316456,7,26728.0,17865.0
18,2013,35,479985,3,54495,79,0.4430379746835443,3,47666.0,56983.0
18,2015,0,0,4,0,0,,12,-188512.0,146238.0
18,2014,38,565453,4,57284,75,0.5066666666666667,8,59975.0,33247.0
18,2013,30,517291,4,55473,75,0.4,4,37306.0,-10360.0
19,2015,37,508990,1,48530,76,0.4868421052631579,9,-31848.0,-66512.0
19,2014,31,476167,1,47541,76,0.4078947368421053,5,-6071.0,-24768.0
19,2013,35,445137,1,44803,75,0.4666666666666667,1,0.0,0.0
19,2015,35,514388,2,47334,72,0.4861111111111111,10,5398.0,37246.0
19,2014,35,486273,2,46560,72,0.4861111111111111,6,10106.0,16177.0
19,2013,35,436611,2,44089,73,0.4794520547945205,2,-8526.0,-8526.0
19,2015,13,175812,3,15770,27,0.4814814814814815,11,-338576.0,-343974.0
19,2014,36,506174,3,48129,79,0.4556962025316456,7,19901.0,9795.0
19,2013,35,463541,3,46578,79,0.4430379746835443,3,26930.0,35456.0
19,2015,0,0,4,0,0,,12,-175812.0,162764.0
19,2014,38,540838,4,50027,75,0.5066666666666667,8,34664.0,14763.0
19,2013,30,482238,4,47257,75,0.4,4,18697.0,-8233.0
20,2015,37,590462,1,61765,75,0.4933333333333334,9,590462.0,590462.0
20,2014,31,560259,1,64055,75,0.4133333333333333,5,-41151.0,-55934.0
20,2013,35,519245,1,57782,75,0.4666666666666667,1,0.0,0.0
20,2015,35,616445,2,63354,72,0.4861111111111111,10,25983.0,-564479.0
20,2014,35,554047,2,61113,69,0.5072463768115942,6,-6212.0,34939.0
20,2013,35,541089,2,60705,73,0.4794520547945205,2,21844.0,21844.0
20,2015,13,231959,3,24457,27,0.4814814814814815,11,-384486.0,-410469.0
20,2014,0,0,3,0,0,,7,-554047.0,-547835.0
20,2013,35,586627,3,67114,78,0.4487179487179487,3,45538.0,23694.0
20,2015,0,0,4,0,0,,12,-231959.0,152527.0
20,2014,0,0,4,0,0,,8,0.0,554047.0
20,2013,30,601410,4,64913,75,0.4,4,14783.0,-30755.0
21,2015,37,419278,1,38910,75,0.4933333333333334,9,-22436.0,-35428.0
21,2014,31,402231,1,38877,75,0.4133333333333333,5,-16003.0,-31329.0
21,2013,35,384733,1,38698,75,0.4666666666666667,1,0.0,0.0
21,2015,35,420308,2,37089,72,0.4861111111111111,10,1030.0,23466.0
21,2014,35,411112,2,38773,72,0.4861111111111111,6,8881.0,24884.0
21,2013,35,372422,2,37392,73,0.4794520547945205,2,-12311.0,-12311.0
21,2015,13,158101,3,13220,27,0.4814814814814815,11,-262207.0,-263237.0
21,2014,36,428722,3,39406,79,0.4556962025316456,7,17610.0,8729.0
21,2013,35,402908,3,39122,79,0.4430379746835443,3,30486.0,42797.0
21,2015,0,0,4,0,0,,12,-158101.0,104106.0
21,2014,38,441714,4,39786,75,0.5066666666666667,8,12992.0,-4618.0
21,2013,30,418234,4,39940,75,0.4,4,15326.0,-15160.0
22,2015,37,335196,1,36615,74,0.5,9,335196.0,335196.0
22,2014,31,320503,1,36747,74,0.4189189189189189,5,-44303.0,-68581.0
22,2013,35,320513,1,36419,74,0.472972972972973,1,0.0,0.0
22,2015,35,347663,2,36996,72,0.4861111111111111,10,12467.0,-322729.0
22,2014,35,327208,2,36548,72,0.4861111111111111,6,6705.0,51008.0
22,2013,35,314696,2,36761,73,0.4794520547945205,2,-5817.0,-5817.0
22,2015,13,130393,3,13669,27,0.4814814814814815,11,-217270.0,-229737.0
22,2014,0,0,3,0,0,,7,-327208.0,-333913.0
22,2013,35,340528,3,38487,78,0.4487179487179487,3,25832.0,31649.0
22,2015,0,0,4,0,0,,12,-130393.0,86877.0
22,2014,0,0,4,0,0,,8,0.0,327208.0
22,2013,30,364806,4,39887,75,0.4,4,24278.0,-1554.0
23,2015,37,408873,1,35458,76,0.4868421052631579,9,-36122.0,-66721.0
23,2014,31,405512,1,35497,76,0.4078947368421053,5,-40118.0,-77467.0
23,2013,35,409669,1,36140,75,0.4666666666666667,1,0.0,0.0
23,2015,35,416712,2,35617,72,0.4861111111111111,10,7839.0,43961.0
23,2014,35,406940,2,35689,72,0.4861111111111111,6,1428.0,41546.0
23,2013,35,389206,2,34812,73,0.4794520547945205,2,-20463.0,-20463.0
23,2015,13,150085,3,12832,27,0.4814814814814815,11,-266627.0,-274466.0
23,2014,36,414396,3,37133,79,0.4556962025316456,7,7456.0,6028.0
23,2013,35,408281,3,36192,79,0.4430379746835443,3,19075.0,39538.0
23,2015,0,0,4,0,0,,12,-150085.0,116542.0
23,2014,38,444995,4,38554,75,0.5066666666666667,8,30599.0,23143.0
23,2013,30,445630,4,37894,75,0.4,4,37349.0,18274.0
24,2015,37,735644,1,63987,76,0.4868421052631579,9,-40228.0,-105073.0
24,2014,31,675982,1,61738,76,0.4078947368421053,5,-63805.0,-114645.0
24,2013,35,663201,1,60634,75,0.4666666666666667,1,0.0,0.0
24,2015,35,749332,2,63912,72,0.4861111111111111,10,13688.0,53916.0
24,2014,35,659005,2,58073,72,0.4861111111111111,6,-16977.0,46828.0
24,2013,35,656111,2,61060,73,0.4794520547945205,2,-7090.0,-7090.0
24,2015,13,258567,3,21322,27,0.4814814814814815,11,-490765.0,-504453.0
24,2014,36,711027,3,63579,79,0.4556962025316456,7,52022.0,68999.0
24,2013,35,688947,3,64094,79,0.4430379746835443,3,32836.0,39926.0
24,2015,0,0,4,0,0,,12,-258567.0,232198.0
24,2014,38,775872,4,66916,75,0.5066666666666667,8,64845.0,12823.0
24,2013,30,739787,4,65485,75,0.4,4,50840.0,18004.0
25,2015,37,812752,1,114411,75,0.4933333333333334,9,-38870.0,-88889.0
25,2014,31,560831,1,75019,51,0.6078431372549019,5,-313810.0,-349706.0
25,2013,35,838158,1,121433,74,0.472972972972973,1,0.0,0.0
25,2015,35,816168,2,111751,72,0.4861111111111111,10,3416.0,42286.0
25,2014,35,790387,2,112350,72,0.4861111111111111,6,229556.0,543366.0
25,2013,35,914443,2,129569,73,0.4794520547945205,2,76285.0,76285.0
25,2015,13,277207,3,36403,27,0.4814814814814815,11,-538961.0,-542377.0
25,2014,36,801603,3,113561,79,0.4556962025316456,7,11216.0,-218340.0
25,2013,35,838745,3,119934,79,0.4430379746835443,3,-75698.0,-151983.0
25,2015,0,0,4,0,0,,12,-277207.0,261754.0
25,2014,38,851622,4,118972,75,0.5066666666666667,8,50019.0,38803.0
25,2013,30,874641,4,124369,75,0.4,4,35896.0,111594.0
26,2015,37,508335,1,42129,76,0.4868421052631579,9,-58008.0,-111253.0
26,2014,31,470890,1,40561,76,0.4078947368421053,5,-52366.0,-83060.0
26,2013,35,468411,1,39672,75,0.4666666666666667,1,0.0,0.0
26,2015,35,519349,2,42168,73,0.4794520547945205,10,11014.0,69022.0
26,2014,35,501365,2,41927,73,0.4794520547945205,6,30475.0,82841.0
26,2013,35,466521,2,40103,74,0.472972972972973,2,-1890.0,-1890.0
26,2015,13,187136,3,15007,27,0.4814814814814815,11,-332213.0,-343227.0
26,2014,36,513098,3,43337,79,0.4556962025316456,7,11733.0,-18742.0
26,2013,35,492562,3,42428,79,0.4430379746835443,3,26041.0,27931.0
26,2015,0,0,4,0,0,,12,-187136.0,145077.0
26,2014,38,566343,4,44649,75,0.5066666666666667,8,53245.0,41512.0
26,2013,30,523256,4,42868,75,0.4,4,30694.0,4653.0
27,2015,37,718564,1,79164,76,0.4868421052631579,9,-55284.0,-110359.0
27,2014,31,696111,1,79754,76,0.4078947368421053,5,-55545.0,-97023.0
27,2013,35,674923,1,79597,75,0.4666666666666667,1,0.0,0.0
27,2015,35,740027,2,79256,72,0.4861111111111111,10,21463.0,76747.0
27,2014,35,702597,2,79095,72,0.4861111111111111,6,6486.0,62031.0
27,2013,35,650556,2,77713,73,0.4794520547945205,2,-24367.0,-24367.0
27,2015,13,246576,3,26337,27,0.4814814814814815,11,-493451.0,-514914.0
27,2014,36,718773,3,81335,79,0.4556962025316456,7,16176.0,9690.0
27,2013,35,710178,3,82764,79,0.4430379746835443,3,59622.0,83989.0
27,2015,0,0,4,0,0,,12,-246576.0,246875.0
27,2014,38,773848,4,85749,75,0.5066666666666667,8,55075.0,38899.0
27,2013,30,751656,4,86473,75,0.4,4,41478.0,-18144.0
28,2015,37,347270,1,38531,75,0.4933333333333334,9,-23627.0,24508.0
28,2014,31,389103,1,43524,75,0.4133333333333333,5,-59435.0,-86655.0
28,2013,35,406232,1,45551,75,0.4666666666666667,1,0.0,0.0
28,2015,35,346597,2,37933,73,0.4794520547945205,10,-673.0,22954.0
28,2014,35,410015,2,44770,73,0.4794520547945205,6,20912.0,80347.0
28,2013,35,394686,2,44863,74,0.472972972972973,2,-11546.0,-11546.0
28,2015,13,127262,3,13668,27,0.4814814814814815,11,-219335.0,-218662.0
28,2014,36,419032,3,43750,70,0.5142857142857142,7,9017.0,-11895.0
28,2013,35,421318,3,47840,79,0.4430379746835443,3,26632.0,38178.0
28,2015,0,0,4,0,0,,12,-127262.0,92073.0
28,2014,38,370897,4,40355,75,0.5066666666666667,8,-48135.0,-57152.0
28,2013,30,448538,4,47411,75,0.4,4,27220.0,588.0
29,2015,37,622698,1,53586,76,0.4868421052631579,9,-17451.0,-74944.0
29,2014,31,536174,1,49143,76,0.4078947368421053,5,-2528.0,-42117.0
29,2013,35,471264,1,42755,75,0.4666666666666667,1,0.0,0.0
29,2015,35,638558,2,53812,72,0.4861111111111111,10,15860.0,33311.0
29,2014,35,553691,2,49481,72,0.4861111111111111,6,17517.0,20045.0
29,2013,35,447453,2,41219,73,0.4794520547945205,2,-23811.0,-23811.0
29,2015,13,206702,3,17425,27,0.4814814814814815,11,-431856.0,-447716.0
29,2014,36,582656,3,51936,79,0.4556962025316456,7,28965.0,11448.0
29,2013,35,499113,3,46390,79,0.4430379746835443,3,51660.0,75471.0
29,2015,0,0,4,0,0,,12,-206702.0,225154.0
29,2014,38,640149,4,54816,75,0.5066666666666667,8,57493.0,28528.0
29,2013,30,538702,4,48670,75,0.4,4,39589.0,-12071.0
30,2015,37,343807,1,49285,75,0.4933333333333334,9,-39400.0,-45587.0
30,2014,31,407902,1,61688,75,0.4133333333333333,5,-45826.0,-35563.0
30,2013,35,451653,1,66076,75,0.4666666666666667,1,0.0,0.0
30,2015,35,317609,2,46179,72,0.4861111111111111,10,-26198.0,13202.0
30,2014,35,364731,2,53515,72,0.4861111111111111,6,-43171.0,2655.0
30,2013,35,443616,2,65755,73,0.4794520547945205,2,-8037.0,-8037.0
30,2015,13,106782,3,15478,27,0.4814814814814815,11,-210827.0,-184629.0
30,2014,36,377020,3,54524,79,0.4556962025316456,7,12289.0,55460.0
30,2013,35,463991,3,68369,79,0.4430379746835443,3,20375.0,28412.0
30,2015,0,0,4,0,0,,12,-106782.0,104045.0
30,2014,38,383207,4,54859,75,0.5066666666666667,8,6187.0,-6102.0
30,2013,30,453728,4,68100,75,0.4,4,-10263.0,-30638.0
31,2015,37,436856,1,42902,76,0.4868421052631579,9,-73341.0,-128844.0
31,2014,31,412857,1,42608,76,0.4078947368421053,5,-64367.0,-94498.0
31,2013,35,430259,1,44065,75,0.4666666666666667,1,0.0,0.0
31,2015,35,427544,2,41473,73,0.4794520547945205,10,-9312.0,64029.0
31,2014,35,428475,2,43319,73,0.4794520547945205,6,15618.0,79985.0
31,2013,35,412440,2,43221,74,0.472972972972973,2,-17819.0,-17819.0
31,2015,13,158504,3,14970,27,0.4814814814814815,11,-269040.0,-259728.0
31,2014,36,454694,3,45423,79,0.4556962025316456,7,26219.0,10601.0
31,2013,35,447093,3,46232,79,0.4430379746835443,3,34653.0,52472.0
31,2015,0,0,4,0,0,,12,-158504.0,110536.0
31,2014,38,510197,4,48190,76,0.5,8,55503.0,29284.0
31,2013,30,477224,4,47061,76,0.3947368421052632,4,30131.0,-4522.0
